"f1","f2","f3","f4","f5","f6","f7","f8","f9","f10","f11","f12","f13","f14","f15","f16","f17","f18","f19","f20","f21","f22","f23","f24","f25","f26","f27","f28","f29","f30","f31","f32","f33","f34","f35","f36","f37","f38","f39","f40","f41","f42","f43","f44","f45","f46","f47","f48","f49","f50","f51","f52","f53","f54","f55","f56","f57","f58","f59","f60","f61","f62","f63","f64","f65","f66","f67","f68","f69","date_time","class"
"no_data","false","Yes","1","true","1","false","1","type_A","false","false","true","300","24","false","false","type_A","1","true","1","75.0","D","0.24","full_match","1","1","1","true","false","6","false","false","true","true","false","4","false","true","not_valid","false","false","true","not_valid","true","true","false","6","928.87","true","false","false","1.0","false","false","0","true","false","928.87","type_B","false","false","6","0","0","true","true","not_valid","1","1003.865","2017-04-13T20:46:58.76","0"
"false","false","Yes","1","true","1","false","3","type_C","true","true","true","86","2461","false","false","type_A","1","false","1","1852.5","B","0.87","full_match","1","2","1","false","true","30","true","false","false","true","true","0","true","false","no_match","false","false","true","full_match","false","false","true","30","46388.81","true","false","true","0.55","true","true","9","true","false","46388.81","type_A","false","false","3","0","0","true","true","not_valid","1","48241.31","2017-04-19T23:42:46.620","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","true","50","5529","false","false","type_A","1","true","1","77.16","B","0.11","full_match","1","1","1","false","false","8","false","false","false","true","false","4","false","true","no_match","false","false","true","full_match","false","false","false","8","1887.89","true","false","false","1.0","false","false","0","true","true","1887.89","type_B","true","true","8","0","0","false","true","not_valid","1","1965.05","2017-04-21T09:28:13.188","0"
"false","true","Yes","1","true","1","false","1","type_B","true","true","false","87","2358","false","false","type_B","1","true","1","1375.0","C","4.43","full_match","1","1","1","true","false","1","false","false","true","true","false","5","true","false","not_valid","false","false","true","not_valid","true","true","false","0","0.0","true","false","true","1.0","true","true","1","true","true","0.0","type_A","false","false","0","0","0","true","true","full_match","0","1375.0","2017-04-14T07:26:44.171","0"
"true","false","Yes","1","true","1","false","1","type_A","true","true","true","64","4369","false","false","type_A","1","true","2","222.0","A","2.83","full_match","1","4","2","false","false","20","false","false","false","true","true","0","true","false","not_valid","true","false","true","not_valid","false","false","true","20","4191.91","true","false","true","0.4","not_valid","false","19","false","false","4191.91","type_A","false","false","2","0","0","false","false","not_valid","0","4413.915","2017-04-03T09:06:49.695","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","false","50","2022","false","false","type_A","1","false","1","120.0","A","0.1","full_match","1","1","1","false","false","0","false","true","true","true","false","0","false","true","full_match","false","false","true","no_match","false","false","false","0","0.0","true","false","false","1.0","true","false","0","false","true","0.0","type_B","true","true","0","0","2","true","false","not_valid","2","120.0","2017-05-02T23:19:16.723","0"
"no_data","false","Yes","1","true","2","false","1","type_C","false","false","true","500","67","false","false","type_A","1","false","1","338.53","D","0.26","full_match","1","1","1","true","false","3","false","not_valid","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","3","1455.85","true","true","false","1.0","not_valid","false","0","true","true","1455.85","type_B","true","true","2","0","0","false","true","not_valid","1","1794.3799999999999","2017-05-09T14:39:52.927","0"
"false","false","Yes","1","true","1","false","2","type_A","true","true","true","275","0","false","false","type_A","1","true","2","111.0","A","3.87","full_match","1","2","1","false","false","4","false","false","false","true","false","0","true","false","not_valid","false","false","true","not_valid","false","false","false","4","4551.0","false","false","true","0.33","false","false","1","true","false","4551.0","type_A","false","false","4","0","0","false","true","not_valid","1","4662.0","2017-04-30T10:38:21.577","0"
"false","true","Yes","1","true","2","false","1","type_A","true","true","true","848","1814","false","false","type_A","1","true","1","3303.84","D","37.31","full_match","1","1","1","true","true","1","true","false","true","true","false","1","true","false","full_match","false","false","true","full_match","false","false","false","1","4751.22","true","false","true","0.44","true","true","1","true","false","4751.22","type_A","false","false","1","0","0","true","true","not_valid","0","8055.06","2017-04-27T23:44:31.553","0"
"false","false","Yes","1","true","1","false","2","type_A","true","false","true","78","3058","true","false","type_A","1","true","2","892.5","B","0.52","full_match","1","3","1","false","true","8","true","false","true","true","false","0","true","false","not_valid","true","false","true","not_valid","false","false","false","6","2981.71","true","false","true","0.61","not_valid","false","4","true","true","2909.77","type_A","false","false","6","0","0","true","true","not_valid","0","3874.2100000000005","2017-05-05T04:27:17.407","0"
"false","false","No","1","false","1","false","3","type_A","true","true","true","129","1042","false","false","type_A","1","true","2","160.03","B","20.62","partial_match","1","3","1","false","true","5","true","false","false","true","false","0","true","false","no_data","false","false","true","no_data","false","false","false","5","955.03","true","false","false","1.0","false","true","2","true","true","795.03","type_A","false","false","1","0","0","false","true","not_valid","0","1115.06","2017-05-09T07:57:40.733","0"
"false","false","Yes","1","true","1","false","2","type_A","true","true","true","91","2051","false","false","type_A","1","true","1","90.0","A","0.24","full_match","1","3","1","false","true","32","true","not_valid","false","true","true","0","true","true","not_valid","false","false","true","not_valid","false","false","true","32","3296.3","true","true","true","1.0","not_valid","false","4","true","true","2254.8","type_A","true","true","4","0","0","false","true","not_valid","0","3386.2999999999997","2017-05-10T17:34:53.813","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","50","2147","false","false","type_A","1","true","1","111.0","D","1.07","full_match","1","1","1","true","false","0","false","true","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","true","false","1.0","true","false","0","true","true","0.0","type_B","true","true","0","0","1","true","true","not_valid","1","111.00000000000001","2017-05-20T17:05:01.49","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","true","71","3598","false","false","type_B","1","true","1","240.99","A","0.1","full_match","1","1","1","false","false","5","false","not_valid","true","true","false","3","false","true","not_valid","false","false","true","not_valid","true","true","false","5","1439.3","true","true","false","1.0","not_valid","false","0","true","true","1439.3","type_B","true","true","4","0","0","true","true","not_valid","2","1680.29","2017-05-23T06:35:43.905","0"
"true","false","Yes","1","true","1","false","3","type_C","false","false","false","96","1738","false","true","type_B","1","false","1","199.98","B","1.24","full_match","1","1","1","false","false","0","false","true","false","true","false","0","false","false","full_match","false","false","true","full_match","false","false","false","0","0.0","true","false","false","1.0","true","true","0","true","true","0.0","type_B","true","true","0","0","3","true","true","not_valid","3","199.98","2017-05-22T18:02:34.316","0"
"false","false","Yes","1","true","3","false","1","type_A","false","false","false","76","3230","false","false","type_A","1","true","1","587.58","D","1.07","partial_match","1","1","1","true","false","0","false","true","true","true","false","5","false","true","full_match","false","false","true","full_match","true","false","false","0","0.0","true","true","false","1.0","true","false","0","true","true","0.0","type_B","true","true","0","0","1","true","true","not_valid","1","587.58","2017-05-15T20:25:31.344","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","false","500","0","false","false","type_B","1","false","1","65.0","A","1.01","partial_match","1","1","1","false","false","0","false","false","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","1.0","true","false","0","true","false","0.0","type_B","false","false","0","0","1","true","true","not_valid","1","65.0","2017-05-22T22:34:42.930","0"
"false","false","Yes","1","true","1","false","1","type_A","true","true","true","500","88","false","false","type_A","1","true","1","277.5","A","0.36","full_match","1","1","1","false","true","3","true","true","false","true","false","6","true","true","not_valid","false","false","true","not_valid","true","true","false","3","722.0","true","true","true","1.0","true","false","1","true","true","722.0","type_A","true","true","2","0","0","true","true","not_valid","0","999.5","2017-05-17T05:51:21.472","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","true","40","2120","false","false","type_A","1","false","1","70.0","A","0.1","full_match","1","1","1","false","false","1","false","false","true","true","false","0","false","true","no_match","false","false","true","full_match","false","false","false","1","84.04","true","false","false","1.0","false","false","0","false","true","84.04","type_B","true","true","1","0","0","true","false","not_valid","1","154.04000000000002","2017-05-21T13:02:14.427","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","true","82","2812","false","false","type_A","1","true","1","277.5","D","7.13","full_match","1","1","1","true","false","1","false","not_valid","false","true","false","4","false","true","not_valid","false","false","true","not_valid","false","false","false","1","111.0","true","true","false","1.0","not_valid","false","0","true","true","111.0","type_B","true","true","1","0","0","false","true","not_valid","1","388.5","2017-05-27T19:50:51.236","0"
"false","false","Yes","1","true","1","false","3","type_C","true","true","true","124","1133","false","false","type_A","1","false","2","1160.0","D","0.47","full_match","2","4","1","true","true","11","true","false","true","true","true","0","true","false","not_valid","false","false","true","not_valid","false","false","true","11","5705.2","true","false","true","1.0","false","true","5","true","true","3938.3","type_A","false","false","1","0","0","true","true","not_valid","0","6865.199999999999","2017-05-29T02:22:28.475","0"
"false","true","Yes","1","false","4","false","1","type_C","false","false","true","500","57","false","false","type_A","1","false","1","161.6","E","27.37","full_match","1","2","1","true","false","14","false","false","false","false","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","14","2056.4","true","false","false","1.0","not_valid","true","0","true","true","2056.4","type_B","false","false","11","0","0","false","true","not_valid","1","2218.0","2017-05-29T15:53:59.557","0"
"false","false","Yes","1","true","1","false","1","type_C","false","false","false","78","3060","false","false","type_A","1","false","1","120.0","D","0.1","full_match","1","1","1","true","false","0","false","false","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","false","false","0.17","not_valid","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","120.0","2017-05-31T10:24:16.522","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","false","500","51","false","false","type_A","1","true","1","585.97","A","1.15","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","true","no_match","false","false","true","no_match","false","false","false","0","0.0","true","false","false","1.0","false","false","0","true","true","0.0","type_B","true","true","0","0","2","false","true","not_valid","2","585.97","2017-05-25T01:02:59.311","0"
"false","false","Yes","2","true","1","false","2","type_C","false","false","true","50","3713","false","false","type_A","1","false","1","1406.5","B","0.14","full_match","2","2","1","false","false","2","false","true","true","true","false","16","false","true","full_match","true","false","true","full_match","true","true","false","2","3175.4","true","false","false","1.0","true","false","1","false","true","2250.4","type_B","true","true","1","0","0","true","false","not_valid","1","4581.9","2017-05-31T12:10:46.381","0"
"true","true","Yes","1","true","1","false","3","type_A","false","false","false","90","2197","false","true","type_A","1","true","2","315.0","D","92.65","partial_match","1","2","1","true","false","0","false","false","false","true","false","1","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","false","false","0.83","not_valid","true","0","true","true","0.0","type_B","false","false","0","0","3","false","true","not_valid","3","315.0","2017-05-25T06:25:48.253","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","true","500","2","false","false","type_A","1","false","1","63.2","A","2.37","full_match","1","1","1","false","false","1","false","false","false","true","false","2","false","true","not_valid","false","false","true","not_valid","false","false","false","1","55.92","true","false","false","1.0","true","false","0","true","false","55.92","type_B","false","false","1","0","0","true","true","not_valid","1","119.12","2017-05-24T17:09:55.336","0"
"false","false","Yes","1","true","1","false","2","type_C","false","false","true","184","560","false","false","type_A","1","false","1","2716.0","B","3.63","full_match","1","1","1","false","false","1","false","false","false","true","false","3","false","true","no_match","false","false","true","no_match","false","false","false","1","1891.5","true","false","false","1.0","false","false","0","false","true","0.0","type_B","true","true","1","0","1","false","false","not_valid","2","4607.5","2017-05-30T23:02:59.127","0"
"false","false","Yes","1","true","1","false","1","type_B","false","false","true","91","2057","false","false","type_A","1","true","1","100.0","D","0.17","partial_match","1","1","1","true","false","1","false","true","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","1","50.0","true","false","false","1.0","true","false","0","false","true","50.0","type_B","true","true","1","0","0","true","false","partial_match","1","150.0","2017-04-03T15:17:34.229","0"
"true","true","Yes","1","true","2","false","4","type_A","false","false","true","106","1363","false","true","type_A","1","true","1","210.21","D","48.38","full_match","1","1","1","true","false","6","false","false","true","true","false","5","false","false","full_match","false","false","true","full_match","true","true","false","6","1112.62","true","false","false","1.0","true","true","1","true","true","632.59","type_B","false","false","2","0","0","true","true","not_valid","1","1322.83","2017-04-14T20:39:17.712","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","229","291","false","false","type_A","1","true","1","1177.77","C","1.7","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","true","full_match","false","false","true","full_match","false","false","false","0","0.0","true","false","false","0.43","true","false","0","true","false","0.0","type_B","false","false","0","0","1","true","true","not_valid","1","1177.77","2017-04-18T14:19:55.800","0"
"no_data","false","Yes","2","true","1","false","2","type_C","false","false","false","50","1101","false","false","type_A","1","false","1","150.0","A","0.33","full_match","1","1","1","false","false","0","false","true","true","true","false","0","false","true","full_match","true","false","true","no_match","false","false","false","0","0.0","true","false","false","1.0","true","false","0","false","true","0.0","type_B","true","true","0","0","2","true","false","not_valid","2","150.0","2017-04-11T08:22:25.537","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","false","500","170","false","false","type_A","1","false","1","63.2","C","0.91","full_match","1","1","1","false","false","0","false","not_valid","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","true","false","1.0","not_valid","false","0","true","true","0.0","type_B","true","true","0","0","1","false","true","not_valid","1","63.2","2017-04-25T13:52:11.512","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","true","86","2535","false","false","type_A","1","true","1","90.0","A","0.16","full_match","1","1","1","false","false","7","false","true","true","true","false","2","false","true","full_match","false","false","true","no_match","true","false","false","7","527.04","true","false","false","1.0","true","false","0","true","true","527.04","type_B","true","true","7","0","0","true","true","not_valid","1","617.04","2017-04-26T07:41:41.520","0"
"false","false","Yes","1","true","1","false","1","type_B","true","true","true","500","21","true","false","type_A","1","true","1","132.0","D","0.1","full_match","1","1","1","true","true","9","true","false","false","true","false","0","true","true","not_valid","false","false","true","not_valid","false","false","false","2","300.0","true","false","true","1.0","true","false","5","true","false","300.0","type_A","false","false","2","0","0","true","true","full_match","0","432.0","2017-04-14T06:08:43.324","0"
"false","false","Yes","1","true","1","false","1","type_C","true","true","true","87","3335","false","false","type_B","1","false","1","4365.0","B","0.17","partial_match","1","1","1","false","true","7","true","not_valid","true","true","false","29","true","true","full_match","false","false","true","no_match","true","true","false","6","2229.0","true","true","true","1.0","not_valid","false","2","true","true","2229.0","type_A","true","false","6","0","0","true","true","not_valid","0","6435.0","2017-04-08T17:44:48.559","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","false","92","2027","false","false","type_A","1","true","1","562.71","B","0.14","full_match","1","1","1","false","false","0","false","true","true","true","false","15","false","true","full_match","false","false","true","no_match","false","true","false","0","0.0","true","false","false","1.0","true","false","0","false","true","0.0","type_B","true","true","0","0","2","true","false","not_valid","2","562.71","2017-04-22T19:32:04.187","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","true","500","1","false","false","type_A","1","true","1","594.41","D","0.11","full_match","2","2","1","true","false","1","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","1","122.1","false","false","false","0.44","not_valid","false","0","true","false","0.0","type_B","false","false","1","0","1","false","true","not_valid","2","716.5050000000001","2017-04-29T13:09:19.533","0"
"false","false","Yes","1","true","1","false","1","type_C","true","false","true","76","3207","false","false","type_A","1","false","1","426.8","B","0.47","full_match","1","1","1","false","false","1","false","false","false","true","true","2","false","true","not_valid","false","false","true","not_valid","true","false","false","1","286.15","true","false","true","0.25","false","false","1","true","false","286.15","type_D","false","false","0","0","0","true","true","not_valid","0","712.95","2017-05-01T12:04:39.704","0"
"no_data","false","Yes","1","true","1","false","1","type_A","false","false","false","104","1398","false","false","type_A","1","true","1","223.65","B","3.02","full_match","1","1","1","false","false","0","false","not_valid","false","true","false","2","false","true","not_valid","false","false","true","not_valid","true","false","false","0","0.0","true","true","false","1.0","not_valid","false","0","true","true","0.0","type_B","true","true","0","0","1","true","true","not_valid","1","223.65","2017-04-28T11:25:08.329","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","90","2187","false","false","type_A","1","false","1","160.0","A","0.64","full_match","1","1","1","false","false","0","false","false","true","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","true","false","1.0","false","false","0","true","true","0.0","type_B","true","true","0","0","1","true","true","not_valid","1","160.0","2017-04-27T20:25:29.639","0"
"no_data","false","Yes","1","true","1","false","1","type_A","false","false","false","78","3081","false","false","type_A","1","false","1","109.92","B","0.71","partial_match","1","1","1","false","false","0","false","false","false","true","false","11","false","true","not_valid","false","false","true","not_valid","true","true","false","0","0.0","true","true","false","0.71","false","false","0","true","true","0.0","type_B","true","true","0","0","1","true","true","not_valid","1","109.92","2017-05-08T06:10:35.587","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","false","500","0","false","false","type_A","1","false","1","116.4","B","2.49","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","0.27","not_valid","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","116.4","2017-05-07T07:34:55.254","0"
"true","false","Yes","1","true","1","false","3","type_C","false","false","true","500","1","false","true","type_A","1","false","1","101.85","B","2.69","full_match","1","1","1","false","false","1","false","false","false","true","false","0","false","false","no_match","false","false","true","no_match","false","false","false","1","242.4","false","false","false","1.0","false","true","0","false","false","0.0","type_B","false","false","1","0","2","false","false","not_valid","3","344.25","2017-05-09T00:32:00.308","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","true","500","2","false","false","type_A","1","false","3","150.0","A","0.69","full_match","1","1","1","false","false","1","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","1","57.5","true","false","false","1.0","not_valid","true","0","true","false","57.5","type_B","false","false","1","0","0","false","true","not_valid","1","207.5","2017-05-09T18:03:16.663","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","false","500","0","false","false","type_A","1","false","1","870.0","B","2.67","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","0.23","false","false","0","true","false","0.0","type_B","false","false","0","0","1","false","true","not_valid","1","870.0","2017-05-11T15:52:43.471","0"
"no_data","true","Yes","1","true","4","false","1","type_C","false","false","false","895","3217","false","false","type_A","1","false","1","843.9","D","52.44","full_match","1","1","1","true","false","0","false","false","false","true","false","5","false","false","full_match","false","false","true","full_match","false","false","false","0","0.0","true","false","false","1.0","true","true","0","true","true","0.0","type_B","false","false","0","0","1","true","true","not_valid","1","843.9","2017-05-06T00:38:09.903","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","53","4993","false","false","type_A","1","true","1","100.0","D","0.46","full_match","1","1","1","true","false","0","false","false","true","true","false","12","false","true","no_match","false","false","true","no_match","true","true","false","0","0.0","true","false","false","1.0","false","false","0","false","true","0.0","type_B","true","true","0","0","1","true","false","not_valid","1","100.0","2017-05-17T12:47:12.813","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","94","3389","false","false","type_A","1","false","2","159.98","A","0.14","full_match","1","1","1","false","false","0","false","false","true","true","false","14","false","false","full_match","false","false","true","full_match","true","true","false","0","0.0","true","false","false","1.0","true","false","0","true","true","0.0","type_B","false","false","0","0","1","true","true","not_valid","1","159.98","2017-05-31T04:21:54.652","0"
"false","false","Yes","1","true","1","false","2","type_A","false","false","true","500","80","false","false","type_A","1","true","1","256.08","B","0.54","full_match","1","1","1","false","false","2","false","true","false","true","false","6","false","true","not_valid","false","false","true","not_valid","true","true","false","2","1767.05","true","true","false","1.0","true","false","0","true","true","0.0","type_B","true","true","2","0","1","true","true","not_valid","2","2023.1299999999999","2017-05-31T08:25:24.275","0"
"false","false","Yes","1","true","1","false","1","type_A","true","false","true","43","5769","false","false","type_A","1","true","1","604.88","B","0.41","full_match","1","1","1","false","false","2","false","not_valid","false","true","true","4","false","true","not_valid","false","false","true","not_valid","false","false","false","2","945.64","true","true","false","1.0","not_valid","false","0","true","true","945.64","type_B","true","true","1","0","0","false","true","not_valid","1","1550.5200000000002","2017-05-25T03:23:12.660","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","69","3801","false","false","type_A","1","false","2","80.52","B","0.17","full_match","1","1","1","false","false","0","false","false","true","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","false","false","0.25","not_valid","false","0","true","false","0.0","type_B","false","false","0","0","1","true","true","not_valid","1","80.52","2017-05-29T02:39:47.860","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","500","0","false","false","type_A","1","false","1","160.0","B","2.14","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","1.0","not_valid","false","0","false","false","0.0","type_B","false","false","0","0","1","false","false","not_valid","1","160.0","2017-05-29T22:37:31.227","0"
"false","false","Yes","1","true","1","false","1","type_A","false","false","false","75","3334","false","false","type_A","1","false","1","110.0","A","0.1","full_match","1","1","1","false","false","0","false","true","true","true","false","4","false","true","full_match","false","false","true","no_match","true","false","false","0","0.0","true","false","false","1.0","true","false","0","false","true","0.0","type_B","true","true","0","0","1","true","false","not_valid","1","110.0","2017-05-28T17:04:30.230","0"
"true","true","Yes","1","true","6","false","1","type_A","true","true","true","895","1","false","false","type_A","1","true","1","273.12","D","90.2","full_match","1","1","1","true","true","1","true","false","false","true","false","0","true","false","no_match","false","false","true","no_match","false","false","false","1","160.0","false","false","true","0.33","false","true","1","true","false","160.0","type_A","false","false","1","0","0","false","true","not_valid","0","433.12","2017-04-02T02:58:20.894","0"
"false","false","Yes","1","true","1","false","1","type_B","false","false","false","244","207","false","false","type_A","1","false","1","50.0","B","0.51","full_match","1","1","1","false","false","0","false","not_valid","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","0","0.0","true","true","false","1.0","not_valid","false","0","true","true","0.0","type_B","true","true","0","0","1","false","true","not_valid","1","50.0","2017-04-17T16:41:19.625","0"
"true","false","Yes","1","true","1","false","3","type_C","false","false","false","500","0","false","true","type_B","1","false","1","300.0","A","6.3","full_match","1","1","1","false","false","0","false","false","false","true","false","0","false","false","not_valid","false","false","true","not_valid","false","false","false","0","0.0","false","false","false","1.0","not_valid","true","0","true","false","0.0","type_B","false","false","0","0","3","false","true","not_valid","3","300.0","2017-04-01T11:45:54.718","0"
"false","false","Yes","1","true","1","false","1","type_A","true","true","true","500","28","false","false","type_A","1","true","2","111.0","A","0.29","full_match","1","1","1","false","true","2","true","false","false","true","false","0","true","false","not_valid","false","false","true","not_valid","false","false","false","1","122.1","true","false","true","1.0","false","false","1","true","false","122.1","type_A","false","false","1","0","0","false","true","not_valid","0","233.10000000000002","2017-04-07T15:23:54.412","0"
"no_data","false","Yes","1","true","1","false","1","type_C","false","false","true","500","46","false","false","type_B","1","false","1","65.0","A","1.23","full_match","1","2","1","false","false","3","false","false","false","true","false","0","false","true","not_valid","false","false","true","not_valid","false","false","false","3","365.0","true","true","false","1.0","false","false","0","true","true","365.0","type_B","true","true","1","0","0","false","true","not_valid","1","430.0","2017-04-16T17:49:52.765","0"
"false","false","Yes","1","true","1","false","1","type_A","true","true","true","50","5260","false","false","type_A","1","true","1","1110.0","A","0.91","full_match","1","1","1","false","false","5","false","not_valid","false","true","false","0","true","true","not_valid","false","false","true","not_valid","false","false","false","5","2553.0","true","true","true","1.0","not_valid","false","1","true","true","2553.0","type_A","true","true","5","0","0","false","true","not_valid","0","3663.0","2017-04-02T12:21:48.456","0"
